country,month,sector,sum,min,max,mean
Brazil,10/2019,Domestic Aviation,0.8689006,0.0228519,0.0305845,0.028029051612903227
Brazil,10/2019,Ground Transport,14.767395,0.385993,0.503432,0.4763675806451613
Brazil,10/2019,Industry,12.127597,0.317205,0.434922,0.3912128064516129
Brazil,10/2019,International Aviation,0.5278814,0.0154803,0.0188534,0.017028432258064514
Brazil,10/2019,Power,9.348159,0.244507,0.335245,0.3015535161290323
Brazil,10/2019,Residential,3.0520088999999997,0.0984519,0.0984519,0.0984519
Brazil,10/2020,Domestic Aviation,0.5879892,0.0104555,0.0226731,0.018967393548387095
Brazil,10/2020,Ground Transport,13.038116,0.191592,0.492585,0.4205843870967742
Brazil,10/2020,Industry,12.266996,0.233958,0.539158,0.3957095483870968
Brazil,10/2020,International Aviation,0.17064987,0.00389721,0.00777875,0.005504834516129033
Brazil,10/2020,Power,9.104624,0.173645,0.400166,0.2936975483870968
Brazil,10/2020,Residential,3.0520088999999997,0.0984519,0.0984519,0.0984519
Brazil,10/2021,Domestic Aviation,0.8449253999999999,0.0170332,0.0318544,0.027255658064516127
Brazil,10/2021,Ground Transport,14.322564,0.340551,0.501138,0.4620181935483871
Brazil,10/2021,Industry,11.264297000000001,0.3081,0.380734,0.36336441935483876
Brazil,10/2021,International Aviation,0.27756822,0.00751902,0.0102937,0.008953813548387096
Brazil,10/2021,Power,13.964353000000001,0.381952,0.471996,0.450463
Brazil,10/2021,Residential,3.0520088999999997,0.0984519,0.0984519,0.0984519
Brazil,10/2022,Domestic Aviation,0.9439628,0.0251456,0.0329533,0.030450412903225806
Brazil,10/2022,Ground Transport,14.640403000000001,0.359605,0.49929,0.47227106451612905
Brazil,10/2022,Industry,11.417298,0.305734,0.435629,0.36829993548387097
Brazil,10/2022,International Aviation,0.44678470000000003,0.0132051,0.0158096,0.014412409677419356
Brazil,10/2022,Power,3.681804,0.098592,0.14048,0.11876787096774194
Brazil,10/2022,Residential,3.0520088999999997,0.0984519,0.0984519,0.0984519
Brazil,11/2019,Domestic Aviation,0.8650131,0.023583,0.0316438,0.028833769999999998
Brazil,11/2019,Ground Transport,14.236885000000001,0.35333,0.509883,0.4745628333333334
Brazil,11/2019,Industry,10.951297,0.302027,0.394198,0.36504323333333333
Brazil,11/2019,International Aviation,0.5106796,0.0155249,0.0199391,0.017022653333333335
Brazil,11/2019,Power,9.278098,0.255882,0.33397,0.30926993333333336
Brazil,11/2019,Residential,3.05202,0.101734,0.101734,0.101734
Brazil,11/2020,Domestic Aviation,0.6343069,0.0124508,0.0240989,0.021143563333333334
Brazil,11/2020,Ground Transport,12.527561,0.18024,0.487428,0.4175853666666667
Brazil,11/2020,Industry,11.400996,0.311589,0.460538,0.38003319999999996
Brazil,11/2020,International Aviation,0.19263093,0.00517812,0.00771419,0.006421031
Brazil,11/2020,Power,10.535558,0.287937,0.425579,0.35118526666666666
Brazil,11/2020,Residential,3.05202,0.101734,0.101734,0.101734
Brazil,11/2021,Domestic Aviation,0.891769,0.0215096,0.0319263,0.029725633333333334
Brazil,11/2021,Ground Transport,13.931793,0.352119,0.503864,0.4643931
Brazil,11/2021,Industry,10.786194,0.223919,0.435208,0.3595398
Brazil,11/2021,International Aviation,0.31275503,0.00870454,0.0125586,0.010425167666666667
Brazil,11/2021,Power,12.235778,0.254012,0.493696,0.40785926666666666
Brazil,11/2021,Residential,3.05202,0.101734,0.101734,0.101734
Brazil,11/2022,Domestic Aviation,0.9168281,0.0222631,0.0334223,0.030560936666666667
Brazil,11/2022,Ground Transport,14.094989,0.396011,0.500834,0.4698329666666667
Brazil,11/2022,Industry,10.930796,0.312528,0.416648,0.3643598666666667
Brazil,11/2022,International Aviation,0.458883,0.0141166,0.0167891,0.0152961
Brazil,11/2022,Power,3.421396,0.097823,0.130413,0.11404653333333334
Brazil,11/2022,Residential,3.05202,0.101734,0.101734,0.101734
Brazil,12/2019,Domestic Aviation,0.9782768,0.0234437,0.0354981,0.03155731612903226
Brazil,12/2019,Ground Transport,14.279923,0.264132,0.507651,0.46064267741935483
Brazil,12/2019,Industry,9.372995,0.275975,0.361137,0.30235467741935484
